results for each method are shown as [sense label, confidence score for sense 1, confidence score for sense 2]
1 for sense 1, 2 for sense 2, 0 for the undetermined sense
true-sense	image	text	linear	max	log-reg
2	[1, 0.534855399652, 0.465144600348]	[2, 0.0057, 0.9943]	[2, 0.28028874792752434, 0.7197112520724757]	[2, 0.0057, 0.9943]	[2, 0.13159241082552575, 0.86840758917447425]	
2	[1, 0.502998893101, 0.497001106899]	[2, 0.0057, 0.9943]	[2, 0.26375780398754595, 0.7362421960124541]	[2, 0.0057, 0.9943]	[2, 0.13160785817237575, 0.86839214182762425]	
1	[1, 0.533615449837, 0.466384550163]	[1, 0.9963, 0.0037]	[1, 0.7562042334289297, 0.24379576657107027]	[1, 0.9963, 0.0037]	[1, 0.92832202180659729, 0.071677978193402686]	
1	[2, 0.418647828264, 0.581352171736]	[0, 0.0, 0.0]	[2, 0.418647828264, 0.581352171736]	[2, 0.418647828264, 0.581352171736]	[1, 0.7049193039543451, 0.29508069604565484]	
2	[1, 0.502865422271, 0.497134577729]	[0, 0.0, 0.0]	[1, 0.502865422271, 0.49713457772900005]	[1, 0.502865422271, 0.497134577729]	[1, 0.75402461068288751, 0.24597538931711252]	
2	[1, 0.502908813356, 0.497091186644]	[2, 0.0154, 0.9846]	[2, 0.26837754639014055, 0.7316224536098594]	[2, 0.0154, 0.9846]	[2, 0.13577035513964886, 0.86422964486035114]	
2	[1, 0.783888089144, 0.216111910856]	[2, 0.0057, 0.9943]	[2, 0.4095165219341838, 0.5904834780658161]	[2, 0.0057, 0.9943]	[2, 0.13147170689529353, 0.86852829310470647]	
1	[1, 0.686202397023, 0.313797602977]	[2, 0.0057, 0.9943]	[2, 0.35882556818490813, 0.6411744318150918]	[2, 0.0057, 0.9943]	[2, 0.13151904307845463, 0.86848095692154537]	
2	[1, 0.502886232808, 0.497113767192]	[2, 0.0057, 0.9943]	[2, 0.26369934243009735, 0.7363006575699027]	[2, 0.0057, 0.9943]	[2, 0.13160791280453021, 0.86839208719546979]	
2	[1, 0.502865422411, 0.497134577589]	[2, 0.0057, 0.9943]	[2, 0.26368854352138377, 0.7363114564786162]	[2, 0.0057, 0.9943]	[2, 0.13160792289608092, 0.86839207710391908]	
2	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.504286924143, 0.495713075857]	[0, 0.0, 0.0]	[1, 0.504286924143, 0.495713075857]	[1, 0.504286924143, 0.495713075857]	[1, 0.75402349200527063, 0.24597650799472934]	
1	[1, 0.502865531497, 0.497134468503]	[0, 0.0, 0.0]	[1, 0.502865531497, 0.497134468503]	[1, 0.502865531497, 0.497134468503]	[1, 0.75402461059693016, 0.24597538940306982]	
2	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502865910449, 0.497134089551]	[0, 0.0, 0.0]	[1, 0.502865910449, 0.497134089551]	[1, 0.502865910449, 0.497134089551]	[1, 0.75402461029870727, 0.24597538970129276]	
1	[1, 0.502866434296, 0.497133565704]	[0, 0.0, 0.0]	[1, 0.502866434296, 0.497133565704]	[1, 0.502866434296, 0.497133565704]	[1, 0.75402460988645659, 0.24597539011354341]	
2	[2, 0.491827404113, 0.508172595887]	[0, 0.0, 0.0]	[2, 0.49182740411299997, 0.508172595887]	[2, 0.491827404113, 0.508172595887]	[1, 0.70485471215374917, 0.29514528784625083]	
2	[2, 0.138289022159, 0.861710977841]	[2, 0.0057, 0.9943]	[2, 0.07450295203926487, 0.9254970479607352]	[2, 0.0057, 0.9943]	[2, 0.10574262368953247, 0.89425737631046753]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
2	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.50286542261, 0.49713457739]	[0, 0.0, 0.0]	[1, 0.50286542261, 0.49713457739]	[1, 0.50286542261, 0.49713457739]	[1, 0.75402461068262072, 0.24597538931737928]	
1	[1, 0.502865422243, 0.497134577757]	[0, 0.0, 0.0]	[1, 0.502865422243, 0.497134577757]	[1, 0.502865422243, 0.497134577757]	[1, 0.75402461068290949, 0.24597538931709051]	
2	[1, 0.521530235032, 0.478469764968]	[0, 0.0, 0.0]	[1, 0.521530235032, 0.478469764968]	[1, 0.521530235032, 0.478469764968]	[1, 0.7540099217846653, 0.24599007821533467]	
2	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
1	[1, 0.50292760393, 0.49707239607]	[0, 0.0, 0.0]	[1, 0.50292760393, 0.49707239607]	[1, 0.50292760393, 0.49707239607]	[1, 0.75402456174793386, 0.24597543825206614]	
1	[1, 0.502871480419, 0.497128519581]	[0, 0.0, 0.0]	[1, 0.502871480419, 0.497128519581]	[1, 0.502871480419, 0.497128519581]	[1, 0.75402460591532139, 0.24597539408467861]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.51266440459, 0.48733559541]	[0, 0.0, 0.0]	[1, 0.51266440459, 0.48733559541000004]	[1, 0.51266440459, 0.48733559541]	[1, 0.75401689911993763, 0.24598310088006234]	
2	[1, 0.502866164855, 0.497133835145]	[2, 0.0154, 0.9846]	[2, 0.2683554152761081, 0.7316445847238919]	[2, 0.0154, 0.9846]	[2, 0.13577037637295308, 0.86422962362704692]	
2	[1, 0.504503293853, 0.495496706147]	[2, 0.0154, 0.9846]	[2, 0.26920495248588105, 0.730795047514119]	[2, 0.0154, 0.9846]	[2, 0.13576956130157569, 0.86423043869842431]	
